REM,START,D770
00,あ
01,い
02,う
03,え
04,お
05,か
06,き
07,く
08,け
09,こ
0A,さ
0B,し
0C,す
0D,せ
0E,そ
0F,゛
10,た
11,ち
12,つ
13,て
14,と
15,な
16,に
17,ぬ
18,ね
19,の
1A,は
1B,ひ
1C,ふ
1D,へ
1E,ほ
1F,゜
20,ま
21,み
22,む
23,め
24,も
25,や
26,ゆ
27,よ
28,ら
29,り
2A,る
2B,れ
2C,ろ
2D,わ
2E,を
2F,ん
30,ア
31,イ
32,ウ
33,エ
34,オ
35,カ
36,キ
37,ク
38,ケ
39,コ
3A,サ
3B,シ
3C,ス
3D,セ
3E,ソ
3F,ー
40,タ
41,チ
42,ツ
43,テ
44,ト
45,ナ
46,ニ
47,ヌ
48,ネ
49,ノ
4A,ハ
4B,ヒ
4C,フ
4D,ヘ
4E,ホ
4F,，
50,マ
51,ミ
52,ム
53,メ
54,モ
55,ヤ
56,ユ
57,ヨ
58,ラ
59,リ
5A,ル
5B,レ
5C,ロ
5D,ワ
5E,ヲ
5F,ン
60,0
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,8
69,9
6A,A
6B,B
6C,C
6D,D
6E,E
6F,F
70,G
71,H
72,I
73,J
74,K
75,L
76,M
77,N
78,O
79,P
7A,Q
7B,R
7C,S
7D,T
7E,U
7F,V
80,W
81,X
82,Y
83,Z
84,ゃ
85,っ
86,ゅ
87,ょ
88,ャ
89,ッ
8A,ュ
8B,ョ
8C,；
8D,：
8E,、
8F,。
90,--
REM,⌒
REM,⌒
REM,.
REM,","
REM,「
96,ぁ
97,ぃ
98,ぅ
99,ぇ
9A,ぉ
9B,・
9C,？
9D,！
9E,※
9F,▲
A0,N
A1,in
A2,te
A3,n
A4,d
A5,o
A6,ァ
A7,ィ
A8,ゥ
A9,ェ
AA,ォ
AB,「
AC,」
AD,／
AE,％
AF,×
REM,B0
REM,B1
REM,B2
REM,B3
REM,B4
REM,B5
REM,B6
REM,B7
REM,B8
B9,c
BA,技
BB,［
BC,］
BD,（
BE,）
BF,速
C0,E
C1,X
REM,C2
REM,C3
REM,C4
REM,C5
REM,C6
C7,Ｅ
C8,Ｘ
C9,Ｐ
CA,．
REM,DF,魔
DF,[CMD_W1]BGM
E8,[CMD_W3]顔グラ(X Y キャラID)
E6,[CMD]PRESS A\n　―　
E7,\n
E9,[CMD_W1]TEXT SPEED
REM, E7は戦闘用画面用？
EA,※「
EB,[NULL]
REM, EBは死亡メッセージ用
EC,[CMD_W1]文字列変数
EE,[PRESS A]
ED,\n　　
EF,[NULL]
REM,EFは兵かも
F0,[CMD_W1]キャラ名表示
REM,F0は多分　可変長でポインタ方式
F1,[CMD]UNKWNOWN_F1
F2,力
F3,▼
F4,→
F5,[CMD_W3]Window?
FF,　
REM, TEXT_TABLE,CHARA_NAME_F0,3F6C0,FIXED_LENGTH,16,15
REM, とうぞくの天使の腕輪の乱数について
REM, ニコニコ動画の情報をもとに0037hを00にすると出る→多分乱数関連
REM, てんしのうでわのアイテムIDは37h
REM, 032Eを37hにするとつねにてんしのうでわがドロップする→常に出るので、DorpItemのIDだと思う(フィールド画面だとワークエリアらしい）
REM,http://sengyoaruji.iinaa.net/20180711a.html
REM, ステージごとの入手可能数テーブルはF23E
REM, 現在ステージでの入手数は6E8D
REM, ステータス開閉回数は5a3にあるが影響しているように見えない...乱数というぐらいなので別のところにあるのだろう


REM,0x0001F9A8:
REM,ぉcアWとえ[CMD:E8,顔グラ(X Y キャラID),arg:50 30 86][CMD:E9,TEXT SPEED,arg:02][CMD:DF,BGM,arg:A5]備※「こさ゛かしいこわっは゜め！
REM,　　わか゛のろいを　うけるか゛よい！
REM,ぉcアWとえ
REM,アWとえ
REM,アWとお
REM,アWとお
REM,ヘッダか何か？
