0,あ
1,い
2,う
3,え
4,お
5,か
6,き
7,く
8,け
9,こ
A,さ
B,し
C,す
D,せ
E,そ
F,゛
10,た
11,ち
12,つ
13,て
14,と
15,な
16,に
17,ぬ
18,ね
19,の
1A,は
1B,ひ
1C,ふ
1D,へ
1E,ほ
1F,゜
20,ま
21,み
22,む
23,め
24,も
25,や
26,ゆ
27,よ
28,ら
29,り
2A,る
2B,れ
2C,ろ
2D,わ
2E,を
2F,ん
30,ア
31,イ
32,ウ
33,エ
34,オ
35,カ
36,キ
37,ク
38,ケ
39,コ
3A,サ
3B,シ
3C,ス
3D,セ
3E,ソ
3F,ー
40,タ
41,チ
42,ツ
43,テ
44,ト
45,ナ
46,ニ
47,ヌ
48,ネ
49,ノ
4A,ハ
4B,ヒ
4C,フ
4D,ヘ
4E,ホ
4F,，
50,マ
51,ミ
52,ム
53,メ
54,モ
55,ヤ
56,ユ
57,ヨ
58,ラ
59,リ
5A,ル
5B,レ
5C,ロ
5D,ワ
5E,ヲ
5F,ン
60,0
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,8
69,9
6A,A
6B,B
6C,C
6D,D
6E,E
6F,F
70,G
71,H
72,I
73,J
74,K
75,L
76,M
77,N
78,O
79,P
7A,Q
7B,R
7C,S
7D,T
7E,U
7F,V
80,W
81,X
82,Y
83,Z
84,ゃ
85,っ
86,ゅ
87,ょ
88,ャ
89,ッ
8A,ュ
8B,ョ
8C,；
8D,：
8E,、
8F,。
90,--
REM,⌒
REM,⌒
REM,.
REM,","
REM,「
96,ぁ
97,ぃ
98,ぅ
99,ぇ
9A,ぉ
9B,・
9C,？
9D,！
9E,※
9F,▲
A0,N
A1,in
A2,ten
A3,do
A4,ァ
A5,ィ
A6,ゥ
A7,ェ
A8,ォ
A9,「
AA,」
AB,／
AC,％
AD,×
REM,AE
REM,AF
REM,B0
REM,B1
REM,B2
REM,B3
REM,B4
REM,B5
REM,B6
REM,B7
REM,B8
B9,?
BA,技
BB,［
BC,］
BD,（
BE,）
BF,速
C0,E
C1,X
REM,C2
REM,C3
REM,C4
REM,C5
REM,C6
C7,Ｅ
C8,Ｘ
C9,Ｐ
CA,．
DF,魔
ED,?
EF,兵
F0,守
F1,備
F2,力
F3,▼
F4,?
