REM,参考資料：https://ameblo.jp/golbez/entry-10044707507.html
00,[NULL]
01,[\n]
02,[CMD_W1]INDENT	
03,[CMD_W1]BGM_CHANGE
04,[SEQ]
05,[CMD_W1]WAIT
REM,06,0ｘ6
07,[ITEM]
08,[%d]
REM,09,0ｘ9
REM,0A,0ｘA
REM,0B,0ｘB
REM,0C,0ｘC
REM,0D,0ｘD
REM,0E,0ｘE
0F,ヴ
10,が
11,ぎ
12,ぐ
13,げ
14,ご
15,ざ
16,じ
17,ず
18,ぜ
19,ぞ
1A,だ
1B,ぢ
1C,づ
1D,で
1E,ど
1F,ば
20,び
21,ぶ
22,べ
23,ぼ
24,ぱ
25,ぴ
26,ぷ
27,ぺ
28,ぽ
29,ガ
2A,ギ
2B,グ
2C,ゲ
2D,ゴ
2E,ザ
2F,ジ
30,ズ
31,ゼ
32,ゾ
33,ダ
34,ヂ
35,ヅ
36,デ
37,ド
38,バ
39,ビ
3A,ブ
3B,ベ
3C,ボ
3D,パ
3E,ピ
3F,プ
40,ペ
41,ポ
42,A
43,B
44,C
45,D
46,E
47,F
48,G
49,H
4A,I
4B,J
4C,K
4D,L
4E,M
4F,N
50,O
51,P
52,Q
53,R
54,S
55,T
56,U
57,V
58,W
59,X
5A,Y
5B,Z
5C,a
5D,b
5E,c
5F,d
60,e
61,f
62,g
63,h
64,i
65,j
66,k
67,l
68,m
69,n
6A,o
6B,p
6C,q
6D,r
6E,s
6F,t
70,u
71,v
72,w
73,x
74,y
75,z

79,『
7A,』
7B,を
7C,っ
7D,ゃ
7E,ゅ
7F,ょ
80,0
81,1
82,2
83,3
84,4
85,5
86,6
87,7
88,8
89,9
8A,あ
8B,い
8C,う
8D,え
8E,お
8F,か
90,き
91,く
92,け
93,こ
94,さ
95,し
96,す
97,せ
98,そ
99,た
9A,ち
9B,つ
9C,て
9D,と
9E,な
9F,に
A0,ぬ
A1,ね
A2,の
A3,は
A4,ひ
A5,ふ
A6,へ
A7,ほ
A8,ま
A9,み
AA,む
AB,め
AC,も
AD,や
AE,ゆ
AF,よ
B0,ら
B1,り
B2,る
B3,れ
B4,ろ
B5,わ
B6,ん
B7,ァ
B8,ィ
B9,「
BA,ェ
BB,ォ
BC,ッ
BD,ャ
BE,ュ
BF,ョ
C0,0ｘC0
C1,。
C2,ー
C3,…
C4,！
C5,？
C6,％
C7,／
C8,：
C9,」
CA,ア
CB,イ
CC,ウ
CD,エ
CE,オ
CF,カ
D0,キ
D1,ク
D2,ケ
D3,コ
D4,サ
D5,シ
D6,ス
D7,セ
D8,ソ
D9,タ
DA,チ
DB,ツ
DC,テ
DD,ト
DE,ナ
DF,ニ
E0,ヌ
E1,ネ
E2,ノ
E3,ハ
E4,ヒ
E5,フ
E6,ヘ
E7,ホ
E8,マ
E9,ミ
EA,ム
EB,メ
EC,モ
ED,ヤ
EE,ユ
EF,ヨ
F0,ラ
F1,リ
F2,ル
F3,レ
F4,ロ
F5,ワ
F6,ン
F7,F7
F8,F8
F9,F9
FA,FA
FB,FB
FC,FC
FD,FD
FE,FE
FF,　
_START,7FFDA
_END,9EB56
0000,[NULL]
0400,セシル
0401,カイン
0402,リディア
0403,テラ
0404,ギルバード
0405,ローザ
0406,ヤン
0407,パロム
0408,ポロム
0409,シド
040A,エッジ
040B,フースーヤ
040C,ゴルベーザ
040D,アンナ
